0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,label
1,a,-1d,0.828865915,216,4.846091393,K,50,0,161.7142263,0,85.96437596,n,2,414,0,S,2.191401354,a8,,15.92101738,1
8,a,-1d,8.981168056,46,7.324910669,A,270,0,328.5598505,0,294.5528811,n,3,63,0,M,3.811777842,a8,,47.56713962,0
1,a,-1d,1.458061364,3304,7.54888661,D,200,1,298.7755544,0,317.61592,n,1,218,0,M,4.284457225,a4,,10.52222809,0
1,b,-1d,2.753682434,212,8.200745974,E,170,0,285.3429074,0,181.7733367,y,2,,0,D,4.680750939,a7,,21.18505009,0
1,unknown,-1d,4.496871943,1050,5.071093723,B,260,1,328.4646885,0,454.058222,n,3,293,0,S,2.740113617,a5,,47.49116435,0
1,unknown,-1d,7.107392886,2015,5.560849659,A,210,0,305.206857,0,890.6767527,n,3,388,0,S,3.181311403,a5,,0.345186559,0
4,a,349d,-0.100262187,2032,6.289132541,D,50,1,161.7644329,2,548.5192439,n,2,87,0,S,3.465325644,a5,A,56.22834499,0
5,a,-1d,6.820732407,14462,6.184420978,A,210,1,305.7505436,0,15.04526558,n,3,10,0,M,3.324177188,a11,,29.04425507,0
1,unknown,-1d,7.078525611,27,6.581614653,D,60,0,179.284349,0,93.42918174,n,1,80,0,M,3.394954396,a6,,-6.440671184,0
7,a,-1d,2.228467325,1085,5.99044142,F,110,0,241.0971014,0,40.78566332,n,2,,0,D,3.181311403,a3,,77.80970909,1
1,unknown,-1d,6.200984827,360,6.573209303,J,300,0,340.9120484,0,460.626274,n,1,6,0,M,4.217677943,a6,,12.24815096,0
1,a,182d,8.580443283,4243,8.718051047,E,300,0,341.8344869,2,630.8473129,n,2,315,0,D,5.006041036,a4,B,54.86922325,1
1,unknown,-1d,10.21265432,428,5.662624084,G,210,1,305.5429538,0,15.28478457,n,2,272,0,M,2.963326225,a5,,28.85341489,0
1,a,-1d,11.38152616,1384,8.117850887,A,270,1,329.8733594,0,313.0170703,n,3,,0,M,4.811357228,a3,,20.24049253,1
4,a,-1d,2.289039671,626,7.265130142,B,250,1,322.7199375,0,437.4354077,n,2,90,0,M,4.217677943,a8,,59.63240743,0
2,a,150d,5.270000075,437,5.930182612,A,200,1,300.2796728,5,34.19465767,n,3,,0,S,3.109170867,a4,A,-9.455653482,0
6,a,-1d,8.078140849,518,7.024405245,B,250,0,322.8827606,0,525.3634937,n,2,68,0,M,4.015911887,a8,,7.606621023,0
1,a,357d,-2.945578445,900,6.512577873,A,70,1,195.9973506,2,311.0834945,n,3,155,0,M,3.394954396,a5,A,34.9369314,0
1,a,-1d,7.733844009,28,5.452374523,B,180,1,290.0115191,0,206.5407526,n,2,203,1,S,2.81516435,a7,,38.70575707,0
2,a,105d,2.424281549,938,5.562816626,A,260,0,327.0309308,1,134.2296648,n,3,,0,S,2.889554101,a5,C,37.25129398,0
1,a,365d,4.197908348,47,6.409902253,B,50,1,163.5290189,1,238.8386363,n,3,159,0,S,3.60493303,a5,A,16.01383261,0
26,a,-1d,5.883131367,153,6.12000217,D,310,0,345.8486201,0,328.0508052,y,1,15,0,M,3.394954396,a7,,33.82995061,0
1,a,-1d,-1.609953411,0,6.306188176,D,80,1,209.315116,0,376.2285636,y,2,519,0,M,3.252971145,a4,,37.61898972,0
10,b,-1d,-0.596039963,970,7.188951574,I,210,1,306.2240643,0,389.1061935,n,0,691,0,M,3.743149788,a7,,0.614837373,1
1,a,-1d,-2.694197727,1301,6.862450714,A,130,0,257.658589,0,332.7560706,n,3,,0,M,3.535312026,a8,,49.01007756,0
1,a,-1d,1.230880766,4028,7.464242287,F,170,1,285.7074438,0,182.4168417,n,2,146,0,M,4.549435581,a11,,32.02691458,0
3,a,-1d,5.908771207,373,7.678713916,F,180,0,290.579472,0,252.9314367,y,2,274,0,M,3.948145828,a7,,16.29560369,0
1,a,188d,2.059432881,330,6.00827126,F,20,0,68.70105029,3,156.918771,n,2,357,0,M,2.740113617,a12,C,0.761706775,1
